Date,Station name,Wind,CO,Dew,Humidity,NO2,O3,PM10,PM2.5,Pressure,SO2,Temperature,AQI index,Dominent pollutant,Status
2019-12-30,Huế,,4.7,,,13.3,6.5,63.5,67.0,,4.5,,157.0,PM2.5,Unhealthy
2019-12-30,Hà Nội,,4.7,,,13.3,6.5,63.5,154.0,,4.5,,204.0,PM2.5,Very Unhealthy
2019-12-30,Hạ Long,,4.7,,,13.3,6.5,63.5,124.0,,4.5,,186.0,PM2.5,Unhealthy
2019-12-30,Hồ Chí Minh,,4.7,,,13.3,6.5,63.5,89.0,,4.5,,168.0,PM2.5,Unhealthy
2019-12-31,Huế,,4.7,,,13.3,6.5,63.5,17.0,,4.5,,61.0,PM2.5,Moderate
2019-12-31,Hà Nội,,4.7,,,13.3,6.5,63.5,152.0,,4.5,,202.0,PM2.5,Very Unhealthy
2019-12-31,Hạ Long,,4.7,,,13.3,6.5,63.5,108.0,,4.5,,178.0,PM2.5,Unhealthy
2019-12-31,Hồ Chí Minh,,4.7,,,13.3,6.5,63.5,82.0,,4.5,,165.0,PM2.5,Unhealthy
2020-01-01,Huế,2.0,5.5,19.2,83.0,14.0,5.0,31.0,18.0,1013.0,5.0,22.0,63.0,PM2.5,Moderate
2020-01-01,Hà Nội,2.0,5.5,19.2,83.0,14.0,5.0,31.0,164.0,1013.0,5.0,22.0,214.0,PM2.5,Very Unhealthy
2020-01-01,Hạ Long,2.0,5.5,19.2,83.0,14.0,5.0,31.0,83.0,1013.0,5.0,22.0,165.0,PM2.5,Unhealthy
2020-01-01,Hồ Chí Minh,2.0,5.5,19.2,83.0,14.0,5.0,31.0,74.0,1013.0,5.0,22.0,161.0,PM2.5,Unhealthy
2020-01-02,Huế,2.0,5.5,19.2,83.0,14.0,5.0,31.0,26.0,1013.0,5.0,22.0,80.0,PM2.5,Moderate
2020-01-02,Hà Nội,2.0,5.5,19.2,83.0,14.0,5.0,31.0,144.0,1013.0,5.0,22.0,197.0,PM2.5,Unhealthy
